VehicleId,LoadCap,RouteSeq,Clients,Demand,Tolls,TollCost,Distance,Time,TotalCost
V001,80.0,CD01 → C014 → C002 → C010 → C004 → C001 → C013 → CD01,"C014,C002,C010,C004,C001,C013",76.0,"P001,P002,P004,P010,P013,P014",110676.40000000001,1437.0838583178506,23.951397638630844,20373140.38061772
V002,60.0,CD01 → C006 → C007 → C003 → C012 → CD01,"C006,C007,C003,C012",58.2,"P003,P006,P007,P012",67517.98000000001,1425.5116233301196,23.758527055501993,20373140.38061772
V003,50.0,CD01 → C008 → C009 → C011 → C005 → CD01,"C008,C009,C011,C005",41.0,"P005,P008,P009,P011",14364.899999999998,1425.70152923756,23.761692153959334,20373140.38061772
